Dat,AgtId
21/09/2014,798
14/10/2014,799
13/04/2010,800
16/06/2010,801
13/06/2011,804
25/08/2012,807
06/04/2012,808
11/01/2013,809
11/01/2013,810
11/01/2013,811
06/11/2013,812
18/06/2013,813
18/06/2013,814
16/05/2014,815
23/05/2014,816
06/06/2014,817
23/07/2014,818
24/08/2014,819
02/11/2008,823
18/08/2008,825
15/09/2008,826
02/08/2008,827
21/07/2008,828
08/06/2008,830
04/03/2008,831
28/02/2008,832
06/11/2009,833
22/08/2009,834
09/08/2009,835
09/08/2009,836
08/08/2009,837
08/08/2009,839
08/08/2009,840
29/07/2009,841
30/09/2009,843
07/08/2009,844
22/07/2009,845
27/03/2009,847
05/12/2011,848
02/11/2011,849
08/09/2011,850
16/07/2011,851
28/06/2011,852
31/05/2011,853
04/07/2011,854
22/10/2012,855
27/09/2012,856
27/09/2012,857
27/09/2012,858
27/09/2012,859
27/09/2012,860
27/09/2012,861
27/09/2012,862
08/07/2012,864
13/03/2012,865
24/04/2012,866
15/10/2012,867
08/12/2013,868
13/07/2013,869
22/04/2013,870
11/04/2013,871
27/02/2013,872
27/02/2013,873
25/01/2013,874
06/04/2013,875
29/03/2013,876
12/03/2013,877
08/03/2013,878
27/02/2012,879
10/02/2013,880
27/03/2014,881
25/01/2014,882
25/01/2014,883
23/01/2014,884
09/05/2014,885
03/04/1990,887
02/05/2007,888
16/12/2006,889
01/11/2006,890
14/04/2007,891
03/11/2007,892
29/11/2006,893
26/07/2006,894
18/11/2006,895
16/11/2006,896
22/11/2005,899
23/12/2014,903
23/12/2014,904
25/04/2004,905
21/01/2015,906
24/03/1994,907
22/01/2002,908
24/12/2002,909
07/01/2002,910
31/03/2002,913
31/12/1994,915
23/12/1994,916
20/05/1994,918
14/06/1994,919
26/08/1990,920
30/05/1997,921
26/10/1998,923
26/10/1998,924
26/01/1998,925
23/01/1998,926
23/10/1998,927
20/06/2014,930
16/03/1998,932
16/03/1998,933
09/03/2001,934
30/04/2001,935
13/01/2004,936
24/06/2004,942
25/06/2004,943
07/01/1997,944
26/02/1997,945
25/03/1997,946
25/03/1997,947
02/09/1997,948
21/10/1997,949
07/02/1998,950
23/04/1998,951
18/09/1998,952
17/02/1999,953
15/09/1999,954
06/10/1999,955
06/10/1999,956
17/12/1999,957
18/12/1999,958
20/01/2000,959
15/02/2000,961
23/02/2000,962
02/03/2000,963
07/03/2000,964
09/03/2000,965
27/04/2000,966
01/06/2000,967
15/06/2000,968
18/10/2001,970
20/02/2004,971
21/12/2004,972
21/12/2004,973
20/04/2005,974
21/06/2005,975
16/09/2005,977
04/04/2002,978
06/02/2006,979
06/02/2006,980
08/03/1999,982
28/09/1995,983
28/09/1995,984
28/09/1995,985
28/09/1995,986
28/09/1995,987
28/09/1995,988
28/09/1995,989
11/05/1994,990
06/02/2006,991
07/02/2006,992
06/02/2006,993
07/02/2006,994
04/05/2006,995
27/08/2007,996
24/10/2007,997
15/11/2007,998
05/08/2008,999
27/07/2008,1000
02/12/2009,1001
09/12/2009,1002
21/04/2010,1003
05/05/2010,1004
03/06/2010,1005
03/06/2010,1006
03/08/2000,1007
20/07/2003,1008
27/05/2003,1009
31/10/2003,1010
13/04/2002,1011
